ik,I,Ik ben een student.,I am a student.
mening,opinion,Dat is slechts mijn mening.,That is just my opinion.
bewijs,proof,Heb je daar bewijs voor?,Do you have proof for that?
reden,reason,Wat is de reden van je komst?,What is the reason for your visit?
doel,purpose,Wat is het doel van dit onderzoek?,What is the purpose of this research?
betekenis,meaning,Wat is de betekenis van dit woord?,What is the meaning of this word?
waarde,value,Dit horloge heeft grote waarde.,This watch has great value.
kwaliteit,quality,De kwaliteit is erg goed.,The quality is very good.
hoeveelheid,quantity,Een grote hoeveelheid water.,A large quantity of water.
omgeving,environment / surroundings,In een rustige omgeving.,In a quiet environment.
bevolking,population,De bevolking groeit.,The population is growing.
maatschappij,society,Een moderne maatschappij.,A modern society.
voorziening,facility / provision,Er zijn veel voorzieningen.,There are many facilities.
verkeer,traffic,Het verkeer staat vast.,The traffic is stuck.
vervoer,transportation,Openbaar vervoer is belangrijk.,Public transportation is important.
veiligheid,safety,Veiligheid is prioriteit.,Safety is priority.
ongeluk,accident,Er is een ongeluk gebeurd.,An accident happened.
gevaar,danger,Kijk uit voor het gevaar.,Watch out for the danger.
hulpverlening,emergency services,De hulpverlening was snel ter plaatse.,The emergency services were quickly on site.
brandweer,fire department,De brandweer blust het vuur.,The fire department is putting out the fire.
ziekenauto,ambulance,De ziekenauto rijdt met zwaailicht.,The ambulance is driving with flashing lights.
politiebureau,police station,Het politiebureau is om de hoek.,The police station is around the corner.
stadhuis,city hall,Ik moet naar het stadhuis.,I have to go to city hall.
belastingdienst,tax office,Een brief van de belastingdienst.,A letter from the tax office.
douane,customs,We moeten door de douane.,We have to go through customs.
paspoortcontrole,passport control,De rij bij de paspoortcontrole is lang.,The queue at passport control is long.
luchthaven,airport,Schiphol is een grote luchthaven.,Schiphol is a large airport.
vliegtuig,airplane,Het vliegtuig vertrekt op tijd.,The airplane departs on time.
piloot,pilot,De piloot begroet de passagiers.,The pilot greets the passengers.
stewardess,flight attendant,De stewardess brengt koffie.,The flight attendant brings coffee.
bagage,luggage,Waar is mijn bagage?,Where is my luggage?
instapkaart,boarding pass,Houd uw instapkaart bij de hand.,Keep your boarding pass ready.
perron,platform,De trein staat op perron vier.,The train is on platform four.
spoor,track,De trein rijdt op het spoor.,The train runs on the track.
conducteur,conductor,De conducteur controleert de kaartjes.,The conductor checks the tickets.
vertraging,delay,De trein heeft tien minuten vertraging.,The train has a ten-minute delay.
dienstregeling,timetable,Kijk in de dienstregeling.,Look at the timetable.
reisweg,route,Wat is de snelste reisweg?,What is the fastest route?
bestemming,destination,We hebben onze bestemming bereikt.,We have reached our destination.
wetenschap,science,Zij houdt van wetenschap.,She loves science.
onderzoek,research,Wetenschappelijk onderzoek.,Scientific research.
experiment,experiment,Een gevaarlijk experiment.,A dangerous experiment.
theorie,theory,Dat is een interessante theorie.,That is an interesting theory.
feit,fact,Het is een bekend feit.,It is a known fact.
gegevens,data,We verzamelen gegevens.,We are collecting data.
analyse,analysis,Een grondige analyse.,A thorough analysis.
resultaat,result,Wat is het resultaat?,What is the result?
ontdekking,discovery,Een belangrijke ontdekking.,An important discovery.
uitvinding,invention,Een nieuwe uitvinding.,A new invention.
technologie,technology,Moderne technologie.,Modern technology.
techniek,technique / engineering,Hij studeert techniek.,He is studying engineering.
machine,machine,De machine werkt goed.,The machine works well.
apparaat,device,Een handig apparaat.,A handy device.
gereedschap,tools,Waar is mijn gereedschap?,Where are my tools?
onderdeel,part / component,Een kapot onderdeel.,A broken part.
energie,energy,Duurzame energie.,Sustainable energy.
elektriciteit,electricity,De elektriciteit is uitgevallen.,The electricity has failed.
spanning,tension / voltage,Er staat spanning op.,There is voltage/tension on it.
stroom,current / power,De stroom is terug.,The power is back.
batterij,battery,De batterij moet worden opgeladen.,The battery needs to be charged.
netwerk,network,Een sociaal netwerk.,A social network.
verbinding,connection,De verbinding is slecht.,The connection is poor.
signaal,signal,Ik heb geen signaal.,I have no signal.
systeem,system,Het systeem start op.,The system is starting up.
software,software,Nieuwe software installeren.,Installing new software.
hardware,hardware,De hardware is verouderd.,The hardware is outdated.
database,database,De gegevens staan in de database.,The data is in the database.
beveiliging,security,De beveiliging is streng.,The security is strict.
privacy,privacy,Wij respecteren uw privacy.,We respect your privacy.
gebruiker,user,Een nieuwe gebruiker aanmaken.,Create a new user.
wachtwoord,password,Uw wachtwoord is geheim.,Your password is secret.
toegang,access,U heeft geen toegang.,You have no access.
foutmelding,error message,Ik krijg een foutmelding.,I am getting an error message.
update,update,Er is een software update.,There is a software update.
instelling,setting,Pas de instellingen aan.,Adjust the settings.
bestand,file,Sla het bestand op.,Save the file.
document,document,Print dit document.,Print this document.
kopie,copy,Maak een kopie.,Make a copy.
map,folder,Doe het in de map.,Put it in the folder.
bijlage,attachment,De bijlage zit in de mail.,The attachment is in the email.
onderwerp,subject,Wat is het onderwerp?,What is the subject?
inhoud,content,De inhoud van de brief.,The content of the letter.
betekenis,meaning,Wat is de betekenis?,What is the meaning?
definitie,definition,Geef een definitie.,Give a definition.
uitleg,explanation,Een duidelijke uitleg.,A clear explanation.
voorbeeld,example,Geef een voorbeeld.,Give an example.
samenvatting,summary,Schrijf een samenvatting.,Write a summary.
conclusie,conclusion,Wat is de conclusie?,What is the conclusion?
advies,advice,Kan ik u advies geven?,Can I give you advice?
tip,tip,Bedankt voor de tip.,Thanks for the tip.
waarschuwing,warning,Een laatste waarschuwing.,A last warning.
bevestiging,confirmation,Ik wacht op bevestiging.,I am waiting for confirmation.
besluit,decision,Het besluit is genomen.,The decision is made.
keuze,choice,U heeft een keuze.,You have a choice.
mogelijkheid,possibility,Er is een mogelijkheid.,There is a possibility.
kans,chance,Een grote kans.,A big chance.
risico,risk,Dat is een groot risico.,That is a big risk.
probleem,problem,Er is een probleem.,There is a problem.
oplossing,solution,We zoeken een oplossing.,We are looking for a solution.
succes,success,Veel succes!,Much success!
fout,mistake,Ik heb een fout gemaakt.,I made a mistake.
mislukking,failure,Het was een mislukking.,It was a failure.
oorzaak,cause,Wat is de oorzaak?,What is the cause?
gevolg,consequence,Dat heeft grote gevolgen.,That has big consequences.
doel,goal,Wat is je doel?,What is your goal?
plan,plan,Ik heb een goed plan.,I have a good plan.
strategie,strategy,Een nieuwe strategie.,A new strategy.
project,project,Ik werk aan een project.,I am working on a project.
taak,task,Dat is jouw taak.,That is your task.
opdracht,assignment,Maak de opdracht.,Do the assignment.
verantwoordelijkheid,responsibility,Neem je verantwoordelijkheid.,Take your responsibility.
plicht,duty,Het is je plicht.,It is your duty.
recht,right,Je hebt het recht.,You have the right.
vrijheid,freedom,Vrijheid is belangrijk.,Freedom is important.
vrede,peace,Wij willen vrede.,We want peace.
oorlog,war,Er is oorlog.,There is war.
crisis,crisis,Een economische crisis.,An economic crisis.
verandering,change,Verandering is nodig.,Change is needed.
ontwikkeling,development,Een goede ontwikkeling.,A good development.
groei,growth,De groei stopt.,The growth stops.
verbetering,improvement,Ik zie verbetering.,I see improvement.
achteruitgang,decline,Er is sprake van achteruitgang.,There is talk of decline.
toekomst,future,De toekomst is onzeker.,The future is uncertain.
verleden,past,Denk niet aan het verleden.,Don't think about the past.
heden,present,Focus op het heden.,Focus on the present.
tijdperk,era,Een nieuw tijdperk.,A new era.
geschiedenis,history,Zij studeert geschiedenis.,She studies history.
cultuur,culture,De Nederlandse cultuur.,Dutch culture.
traditie,tradition,Het is een traditie.,It is a tradition.
gewoonte,habit,Dat is een gewoonte.,That is a habit.
ervaring,experience,Ik heb veel ervaring.,I have a lot of experience.
kennis,knowledge,Zij heeft veel kennis.,She has a lot of knowledge.
wijsheid,wisdom,Wijsheid komt met de jaren.,Wisdom comes with age.
talent,talent,Hij heeft talent.,He has talent.
vaardigheid,skill,Dat is een vaardigheid.,That is a skill.
kwaliteit,quality,Kwaliteit boven kwantiteit.,Quality over quantity.
waarde,value,Dat heeft veel waarde.,That has a lot of value.
norm,norm / standard,Wat is de norm?,What is the norm?
waarde,value / worth,Wat is de waarde?,What is the value?
principe,principle,Het is een principe.,It is a principle.
mening,opinion,Wat is jouw mening?,What is your opinion?
standpunt,point of view,Ik begrijp je standpunt.,I understand your point of view.
overtuiging,conviction,Een sterke overtuiging.,A strong conviction.
twijfel,doubt,Er is geen twijfel.,There is no doubt.
geloof,faith / belief,Het christelijk geloof.,The Christian faith.
religie,religion,Vrijheid van religie.,Freedom of religion.
filosofie,philosophy,Hij leest filosofie.,He reads philosophy.
kunst,art,Ik hou van kunst.,I love art.
literatuur,literature,Klassieke literatuur.,Classical literature.
muziek,music,Zij maakt muziek.,She makes music.
architectuur,architecture,Moderne architectuur.,Modern architecture.
schilderkunst,painting (art),De Nederlandse schilderkunst.,Dutch painting.
beeldhouwkunst,sculpture,Een museum voor beeldhouwkunst.,A museum for sculpture.
theater,theater,Gaan we naar het theater?,Are we going to the theater?
bioscoop,cinema,Een film in de bioscoop.,A movie in the cinema.
concert,concert,Ik heb een kaartje voor het concert.,I have a ticket for the concert.
festival,festival,Een groot muziekfestival.,A big music festival.
evenement,event,Het is een jaarlijks evenement.,It is a yearly event.
publiek,audience,Het publiek klapt.,The audience is clapping.
succes,success,Het was een groot succes.,It was a great success.
roem,fame,Hij zoekt geen roem.,He is not looking for fame.
invloed,influence,Zij heeft veel invloed.,She has a lot of influence.
macht,power,Geld is macht.,Money is power.
autoriteit,authority,Hij heeft autoriteit.,He has authority.
respect,respect,Toon respect.,Show respect.
vertrouwen,trust,Ik heb vertrouwen in je.,I have trust in you.
eerlijkheid,honesty,Eerlijkheid duurt het langst.,Honesty lasts longest.
vriendschap,friendship,Onze vriendschap is sterk.,Our friendship is strong.
liefde,love,Liefde overwint alles.,Love conquers all.
geluk,happiness,Ik wens je veel geluk.,I wish you much happiness.
verdriet,sadness,Zij heeft veel verdriet.,She has a lot of sadness.
pijn,pain,Ik heb veel pijn.,I have a lot of pain.
angst,fear,Angst voor het donker.,Fear of the dark.
boosheid,anger,Zijn boosheid was groot.,His anger was great.
verbazing,surprise,Tot mijn verbazing.,To my surprise.
bewondering,admiration,Ik heb bewondering voor haar.,I have admiration for her.
geduld,patience,Heb een beetje geduld.,Have a little patience.
moed,courage,Hij heeft veel moed.,He has a lot of courage.
trots,pride,Ik ben trots op je.,I am proud of you.
spijt,regret,Ik heb nergens spijt van.,I regret nothing.
schuld,guilt / debt,Het is niet mijn schuld.,It is not my fault.
schaamte,shame,Zij voelt geen schaamte.,She feels no shame.
nieuwsgierigheid,curiosity,Nieuwsgierigheid is goed.,Curiosity is good.
aandacht,attention,Schenk meer aandacht.,Pay more attention.
interesse,interest,Ik heb geen interesse.,I have no interest.
enthousiasme,enthusiasm,Met veel enthousiasme.,With much enthusiasm.
motivatie,motivation,Ik mis motivatie.,I lack motivation.
concentratie,concentration,Ik heb geen concentratie.,I have no concentration.
herinnering,memory,Een mooie herinnering.,A beautiful memory.
geheugen,memory (faculty),Ik heb een goed geheugen.,I have a good memory.
verbeelding,imagination,Gebruik je verbeelding.,Use your imagination.
gedachte,thought,Wat een mooie gedachte.,What a beautiful thought.
idee,idea,Ik heb een idee.,I have an idea.
plan,plan,Wat is het plan?,What is the plan?
wens,wish,Het is mijn wens.,It is my wish.
droom,dream,Ik had een droom.,I had a dream.
hoop,hope,Er is altijd hoop.,There is always hope.
verwachting,expectation,Boven verwachting.,Above expectation.
oordeel,judgment,Vorm je eigen oordeel.,Form your own judgment.
kritiek,criticism,Ik accepteer kritiek.,I accept criticism.
compliment,compliment,Bedankt voor het compliment.,Thanks for the compliment.
advies,advice,Bedankt voor het advies.,Thanks for the advice.
voorstel,proposal,Ik heb een voorstel.,I have a proposal.
afspraak,agreement / appointment,We hebben een afspraak.,We have an agreement.
belofte,promise,Houd je aan je belofte.,Keep your promise.
geheim,secret,Het is een geheim.,It is a secret.
waarheid,truth,Vertel de waarheid.,Tell the truth.
leugen,lie,Dat is een leugen.,That is a lie.
feit,fact,Dat is een feit.,That is a fact.
mening,opinion,Dat is mijn mening.,That is my opinion.
bewijs,proof,Heb je bewijs?,Do you have proof?
reden,reason,Wat is de reden?,What is the reason?
oorzaak,cause,Wat is de oorzaak?,What is the cause?
gevolg,consequence,Wat is het gevolg?,What is the consequence?
doel,purpose,Wat is het doel?,What is the purpose?
resultaat,result,Het resultaat is goed.,The result is good.
betekenis,meaning,Wat is de betekenis?,What is the meaning?
waarde,value,Het heeft geen waarde.,It has no value.
kwaliteit,quality,De kwaliteit is slecht.,The quality is poor.
hoeveelheid,amount,Een grote hoeveelheid.,A large amount.
totaal,total,Wat is het totaal?,What is the total?
gemiddelde,average,Boven het gemiddelde.,Above average.
maximum,maximum,De maximum snelheid.,The maximum speed.
minimum,minimum,Het minimum loon.,The minimum wage.
niveau,level,Een hoog niveau.,A high level.
graad,degree,Het is dertig graden.,It is thirty degrees.
procent,percent,Tien procent korting.,Ten percent discount.
deel,part,Het grootste deel.,The largest part.
stuk,piece,Een stukje taart.,A piece of cake.
helft,half,De helft van de tijd.,Half of the time.
kwart,quarter,Een kwartier wachten.,Waiting for a quarter of an hour.
rest,rest,De rest is voor jou.,The rest is for you.
vorm,shape,Een ronde vorm.,A round shape.
formaat,format / size,Een groot formaat.,A large format.
maat,size,Welke maat heb je?,What size do you have?
gewicht,weight,Wat is het gewicht?,What is the weight?
lengte,length / height,Wat is je lengte?,What is your height?
breedte,width,De breedte van de kast.,The width of the cupboard.
hoogte,height,De hoogte van de berg.,The height of the mountain.
diepte,depth,De diepte van de zee.,The depth of the sea.
afstand,distance,De afstand is groot.,The distance is large.
oppervlakte,surface area,De oppervlakte van de kamer.,The surface area of the room.
bakkerij,bakery,De bakkerij is een winkel waar je vers brood kunt kopen.,The bakery is a shop where you can buy fresh bread.
slagerij,butcher shop,Bij de slagerij koop je het beste vlees.,At the butcher shop you buy the best meat.
groenteboer,greengrocer,De groenteboer verkoopt verse groenten en fruit.,The greengrocer sells fresh vegetables and fruit.
kapper,hairdresser,Ik ga naar de kapper om mijn haar te knippen.,I go to the hairdresser to cut my hair.
bibliotheek,library,In de bibliotheek kun je boeken lenen.,In the library you can borrow books.
postkantoor,post office,Ik moet een pakketje wegbrengen naar het postkantoor.,I have to bring a package to the post office.
politiebureau,police station,Hij doet aangifte bij het politiebureau.,He reports it at the police station.
haven,harbor,De schepen liggen in de haven.,The ships are in the harbor.
vliegveld,airport,We moeten drie uur van tevoren op het vliegveld zijn.,We have to be at the airport three hours in advance.
parkeerplaats,parking lot,Er is geen vrije parkeerplaats meer.,There are no more free parking spots.
terras,terrace,Zullen we op het terras gaan zitten?,Shall we sit on the terrace?
dak,roof,Er ligt sneeuw op het dak.,There is snow on the roof.
plafond,ceiling,De lamp hangt aan het plafond.,The lamp hangs from the ceiling.
trap,stairs,Ik loop de trap op naar boven.,I walk up the stairs.
lift,elevator,De lift is buiten gebruik.,The elevator is out of order.
gang,hallway,Mijn jas hangt in de gang.,My coat is in the hallway.
poort,gate,Doe de poort achter je dicht.,Close the gate behind you.
bel,bell,Ik hoorde de bel niet.,I didn't hear the bell.
brief,letter,Ik schrijf een brief aan mijn oma.,I am writing a letter to my grandma.
kaart,card,Stuur je me een kaartje?,Will you send me a card?
postcode,zip code,Vergeet de postcode niet te vermelden.,Don't forget to mention the zip code.
prins,prince,De prins speelt in de tuin.,The prince is playing in the garden.
prinses,princess,De prinses zwaait naar de mensen.,The princess waves to the people.
leger,army,Het leger wordt ingezet bij rampen.,The army is deployed during disasters.
soldaat,soldier,De soldaat staat op wacht.,The soldier is on guard.
dief,thief,De dief is door de politie gepakt.,The thief was caught by the police.
straf,punishment,Hij kreeg een zware straf.,He received a heavy punishment.
redding,rescue,De redding kwam net op tijd.,The rescue came just in time.
brand,fire,Er is brand uitgebroken in de keuken.,A fire has broken out in the kitchen.
rook,smoke,Ik zie zwarte rook uit de schoorsteen komen.,I see black smoke coming from the chimney.
aarde,earth,De aarde draait om de zon.,The earth revolves around the sun.
vuur,fire,Maak een vuur om warm te blijven.,Make a fire to stay warm.
planeet,planet,Mars is de rode planeet.,Mars is the red planet.
volk,people/nation,Het volk kiest de nieuwe regering.,The people choose the new government.
seconde,second,Het duurt maar een seconde.,It only takes a second.
minuut,minute,Ik ben over vijf minuten terug.,I'll be back in five minutes.
eeuw,century,We leven in de eenentwintigste eeuw.,We live in the twenty-first century.
zelden,rarely,Ik kijk zelden televisie.,I rarely watch television.
regelmatig,regularly,Hij sport regelmatig.,He exercises regularly.
bijna,almost,We zijn er bijna.,We are almost there.
zelfs,even,Het was zelfs in de winter warm.,It was warm even in the winter.
vooral,especially,Ik hou vooral van chocola.,I especially like chocolate.
hopelijk,hopefully,Hopelijk is het morgen mooi weer.,Hopefully the weather will be nice tomorrow.
gelukkig,luckily,Gelukkig was de trein op tijd.,Luckily the train was on time.
helaas,unfortunately,Helaas kan ik niet komen.,Unfortunately I cannot come.
eigenlijk,actually,Wat wil je eigenlijk zeggen?,What do you actually want to say?
precies,exactly,Het is nu precies acht uur.,It is exactly eight o'clock now.
ongeveer,approximately,De reis duurt ongeveer een uur.,The journey takes about an hour.
bijvoorbeeld,for example,Ik hou van fruit, bijvoorbeeld appels.,I love fruit, for example apples.
namelijk,namely,Ik heb drie broers, namelijk Jan, Piet en Klaas.,I have three brothers, namely Jan, Piet and Klaas.
zulk,such,Ik heb nog nooit zulk mooi weer gezien.,I have never seen such beautiful weather.
dergelijk,suchlike,Ik heb geen dergelijke plannen.,I have no such plans.
ander,other,Wil je een ander koekje?,Do you want another cookie?
alle,all,Alle kinderen spelen buiten.,All children are playing outside.
elke,every,Ik ga elke dag naar mijn werk.,I go to my work every day.
iedere,every,Iedereen is welkom.,Everyone is welcome.
enkele,some,Er zijn nog enkele kaarten beschikbaar.,There are still some tickets available.
voldoende,sufficient,Je hebt voldoende punten gehaald.,You have achieved sufficient points.
zeer,very,Dat is een zeer goed resultaat.,That is a very good result.
nadat,after,Nadat we gegeten hadden, gingen we wandelen.,After we had eaten, we went for a walk.
voordat,before,Poets je tanden voordat je gaat slapen.,Brush your teeth before you go to sleep.
terwijl,while,Ik luister naar muziek terwijl ik werk.,I listen to music while I work.
zodra,as soon as,Bel me zodra je thuis bent.,Call me as soon as you are home.
totdat,until,Wacht hier totdat ik terug ben.,Wait here until I am back.
sinds,since,Ik woon hier sinds vorig jaar.,I have been living here since last year.
hoewel,although,Hoewel het regende, gingen we toch naar buiten.,Although it was raining, we still went outside.
tenzij,unless,Ik kom morgen, tenzij het heel hard gaat regenen.,I'll come tomorrow, unless it's going to rain very hard.
mits,provided that,Je mag mee, mits je je goed gedraagt.,You may come along, provided you behave well.
daarom,therefore,Het regende, daarom bleven we binnen.,It was raining, therefore we stayed inside.
dus,so,Het is al laat, dus ik ga nu naar huis.,It is already late, so I am going home now.
toch,yet/still,Het was koud, maar we gingen toch wandelen.,It was cold, but we still went for a walk.
terug,back,Wanneer kom je weer terug?,When are you coming back?
heen,there/away,Waar ga je heen?,Where are you going?
weg,away,Ga weg!,Go away!
af,off/finished,Het werk is eindelijk af.,The work is finally finished.
op,up/finished,Het geld is bijna op.,The money is almost gone.
langs,along/past,We rijden langs de rivier.,We are driving along the river.
tegen,against/to,Hij leunt tegen de muur.,He is leaning against the wall.
vandaag,today,Ik doe het vandaag.,I will do it today.
morgen,tomorrow,Tot morgen.,See you tomorrow.
gisteren,yesterday,Ik was er gisteren.,I was there yesterday.
altijd,always,Hij is altijd te laat.,He is always late.
vaak,often,Ik kom hier vaak.,I come here often.
soms,sometimes,Soms ga ik hardlopen.,Sometimes I go running.
nooit,never,Ik drink nooit koffie.,I never drink coffee.
hier,here,Kom hier.,Come here.
daar,there,Het ligt daar.,It lies there.
ergens,somewhere,Het is ergens in huis.,It is somewhere in the house.
overal,everywhere,Ik heb overal gezocht.,I have searched everywhere.
niemand,nobody,Er is niemand.,There is nobody.
iemand,someone,Is er iemand?,Is there someone?
alles,everything,Ik wil alles weten.,I want to know everything.
niets,nothing,Ik doe niets.,I am doing nothing.
iets,something,Wil je iets eten?,Do you want to eat something?
huis,house,Dit is mijn huis.,This is my house.
kamer,room,De kamer is groot.,The room is big.
keuken,kitchen,Wij koken in de keuken.,We are cooking in the kitchen.
badkamer,bathroom,De badkamer is schoon.,The bathroom is clean.
slaapkamer,bedroom,Mijn slaapkamer is koud.,My bedroom is cold.
woonkamer,living room,We zitten in de woonkamer.,We are sitting in the living room.
tafel,table,Het ligt op tafel.,It is on the table.
stoel,chair,Neem een stoel.,Take a chair.
bed,bed,Ik ga naar bed.,I am going to bed.
kast,cupboard,De borden staan in de kast.,The plates are in the cupboard.
deur,door,Doe the deur dicht.,Close the door.
raam,window,Het raam is open.,The window is open.
vloer,floor,De vloer is nat.,The floor is wet.
muur,wall,De muur is wit.,The wall is white.
licht,light,Doe het licht aan.,Turn on the light.
lamp,lamp,De lamp is kapot.,The lamp is broken.
sleutel,key,Waar is mijn sleutel?,Where is my key?
slot,lock,Het slot is oud.,The lock is old.
tas,bag,Mijn tas is zwaar.,My bag is heavy.
koffer,suitcase,Ik pak mijn koffer.,I pack my suitcase.
boek,book,Ik lees een mooi boek.,I am reading a beautiful book.
pen,pen,Mag ik je pen lenen?,May I borrow your pen?
papier,paper,Ik heb papier nodig.,I need paper.
computer,computer,De computer is traag.,The computer is slow.
laptop,laptop,Mijn laptop staat aan.,My laptop is on.
telefoon,phone,Mijn telefoon gaat af.,My phone is ringing.
oplader,charger,Ik zoek mijn oplader.,I am looking for my charger.
televisie,TV,De televisie staat aan.,The television is on.
afstandsbediening,remote,Geef me de afstandsbediening.,Give me the remote.
koelkast,fridge,Het bier staat in de koelkast.,The beer is in the fridge.
oven,oven,De pizza zit in de oven.,The pizza is in the oven.
magnetron,microwave,Warm het op in de magnetron.,Warm it up in the microwave.
fornuis,stove,De pan staat op het fornuis.,The pan is on the stove.
bord,plate,Jouw bord is leeg.,Your plate is empty.
glas,glass,Een glas water graag.,A glass of water please.
kopje,cup,Een kopje thee graag.,A cup of tea please.
mes,knife,Ik heb een mes nodig.,I need a knife.
vork,fork,Hier is een vork.,Here is a fork.
lepel,spoon,Waar is de soeplepel?,Where is the soup spoon?
handdoek,towel,Geef me een handdoek.,Give me a towel.
zeep,soap,Was je handen met zeep.,Wash your hands with soap.
shampoo,shampoo,Mijn shampoo is op.,My shampoo is gone.
spiegel,mirror,Kijk in de spiegel.,Look in the mirror.
wasmachine,washing machine,De wasmachine is vol.,The washing machine is full.
droger,dryer,De droger is klaar.,The dryer is ready.
vuilnis,trash,Breng het vuilnis weg.,Take the trash away.
vuilnisbak,trash can,Gooi het in de vuilnisbak.,Throw it in the trash can.
schoon,clean,Alles is schoon.,Everything is clean.
vies,dirty,Mijn handen zijn vies.,My hands are dirty.
warm,warm,Het is warm vandaag.,It is warm today.
koud,cold,Het is erg koud.,It is very cold.
groot,big,Dat is een groot huis.,That is a big house.
klein,small,Hij is nog klein.,He is still small.
nieuw,new,Ik heb een nieuwe auto.,I have a new car.
oud,old,Die fiets is oud.,That bike is old.
duur,expensive,Dat horloge is duur.,That watch is expensive.
goedkoop,cheap,Die appels zijn goedkoop.,Those apples are cheap.
zwaar,heavy,Deze doos is zwaar.,This box is heavy.
licht (gewicht),light (weight),Het is heel licht.,It is very light.
open,open,De winkel is open.,The shop is open.
dicht,closed,De deur is dicht.,The door is closed.
vol,full,Het glas is vol.,The glass is full.
leeg,empty,Mijn kopje is leeg.,My cup is empty.
nat,wet,Mijn kleren zijn nat.,My clothes are wet.
droog,dry,De was is droog.,The laundry is dry.
snel,fast,Hij rent snel.,He runs fast.
langzaam,slow,Je praat te langzaam.,You talk too slowly.
makkelijk,easy,Die test was makkelijk.,That test was easy.
moeilijk,difficult,Nederlands is moeilijk.,Dutch is difficult.
mooi,beautiful,Wat een mooie bloem.,What a beautiful flower.
lelijk,ugly,Dat gebouw is lelijk.,That building is ugly.
goed,good,Dat is een goed idee.,That is a good idea.
slecht,bad,Het weer is slecht.,The weather is bad.
beter,better,Dit is veel beter.,This is much better.
best,best,Jij bent de beste.,You are the best.
hetzelfde,same,Wij dragen hetzelfde.,We are wearing the same.
anders,different,Dit is anders.,This is different.
dichtbij,near,Het is hier dichtbij.,It is near here.
ver,far,Is het nog ver?,Is it still far?
klaar,ready,Ik ben er klaar voor.,I am ready for it.
eten,food,Het eten is klaar.,The food is ready.
drinken,drink,Wat wil je drinken?,What do you want to drink?
water,water,Ik wil graag water.,I would like water.
koffie,coffee,Twee koffie alstublieft.,Two coffees please.
thee,tea,Ik drink groene thee.,I drink green tea.
melk,milk,Met melk en suiker.,With milk and sugar.
sap,juice,Appelsap of sinaasappelsap?,Apple juice or orange juice?
bier,beer,Een koud bier graag.,A cold beer please.
wijn,wine,Rode of witte wijn?,Red or white wine?
brood,bread,Ik eet vers brood.,I eat fresh bread.
boter,butter,Met een beetje boter.,With a little butter.
kaas,cheese,Hollandse kaas is lekker.,Dutch cheese is tasty.
ei,egg,Ik kook een ei.,I am boiling an egg.
vlees,meat,Ik eet geen vlees.,I do not eat meat.
kip,chicken,Wij eten kip vanavond.,We are eating chicken tonight.
vis,fish,De vis is erg vers.,The fish is very fresh.
rijst,rice,Kip met rijst.,Chicken with rice.
pasta,pasta,Ik maak pasta.,I am making pasta.
aardappel,potato,Gekookte aardappels.,Boiled potatoes.
groente,vegetables,Je moet groente eten.,You have to eat vegetables.
fruit,fruit,Eet meer fruit.,Eat more fruit.
appel,apple,Ik eet een appel.,I eat an apple.
banaan,banana,Een gele banaan.,A yellow banana.
sinaasappel,orange,Een zoete sinaasappel.,A sweet orange.
tomaat,tomato,Tomaten in de salade.,Tomatoes in the salad.
komkommer,cucumber,Ik snijd de komkommer.,I am cutting the cucumber.
ui,onion,Met een beetje ui.,With a little onion.
sla,lettuce,De sla is groen.,The lettuce is green.
suiker,sugar,Geen suiker voor mij.,No sugar for me.
zout,salt,Een beetje extra zout.,A little extra salt.
peper,pepper,Peper en zout.,Pepper and salt.
saus,sauce,Welke saus wil je?,Which sauce do you want?
soep,soup,Tomatensoep vooraf.,Tomato soup as a starter.
salade,salad,Ik bestel een salade.,I am ordering a salad.
ontbijt,breakfast,Het ontbijt is om acht uur.,Breakfast is at eight o'clock.
lunch,lunch,Wat eten we voor de lunch?,What are we eating for lunch?
diner,dinner,Het diner was heerlijk.,The dinner was delicious.
restaurant,restaurant,Een goed restaurant.,A good restaurant.
menu,menu,Mag ik het menu zien?,May I see the menu?
bestelling,order,Wat is uw bestelling?,What is your order?
rekening,bill,De rekening alstublieft.,The bill please.
betalen,to pay,Kan ik betalen?,Can I pay?
reservering,reservation,Ik heb een reservering.,I have a reservation.
honger,hunger,Ik heb honger.,I am hungry.
dorst,thirst,Ik heb dorst.,I am thirsty.
lekker,tasty,Dat was erg lekker.,That was very tasty.
vies (eten),disgusting,Dat smaakt vies.,That tastes disgusting.
vers,fresh,Vers brood is het beste.,Fresh bread is the best.
oud (eten),stale,Dit brood is oud.,This bread is stale.
koken,to cook,Wie kookt er vanavond?,Who is cooking tonight?
bakken,to bake,Koekjes bakken is leuk.,Baking cookies is fun.
snijden,to cut,Kan je de ui snijden?,Can you cut the onion?
mengen,to mix,Je moet alles mengen.,You have to mix everything.
proeven,to taste,Wil je even proeven?,Do you want to taste?
serveren,to serve,We serveren het warm.,We serve it warm.
etenstijd,mealtime,Het is etenstijd.,It is mealtime.
snack,snack,Ik neem een snack.,I am taking a snack.
friet,fries,Friet met mayonaise.,Fries with mayonnaise.
saas,sauce,Lekker veel saus.,Nice and lots of sauce.
pizza,pizza,Ik bestel een pizza.,I am ordering a pizza.
hamburger,burger,Een hamburger met kaas.,A burger with cheese.
ijs,ice cream,Ik wil een ijsje.,I want an ice cream.
chocolade,chocolate,Pure chocolade is lekker.,Dark chocolate is tasty.
